AutoPhrase							TopMine (10 topics)						Topmine (15 topics)					
1	2	3	4	5	Word2Vec		 Topic 1	Topic 4	Topic 5	Topic 8			Topic 1	Topic 3	 Topic 5	Topic 9	Topic 10	Topic 11
sea urchin	treasure island	il posto	caesar salad	lamb chops	chicken marsala	1	olive garden 1724	marinara sauce 808	thin crust 1058	caesar salad 925		1	ice cream 641	pasta dishes 889	wine list 1123	olive garden 1724	mashed potatoes 343	thin crust 1058
panda express	arnold palmer	ahi tuna	sea urchin	pork chop	chicken parmesan	2	garlic bread 1347	tomato sauce 786	pizzeria bianco 716	caprese salad 504		2	iced tea 389	tomato sauce 875	glass wine 762	garlic bread 1343	cooked perfectly 268	pizzeria bianco 716
san gennaro	blue moon	mamma mia	clam chowder	osso bucco	spaghetti meatballs	3	olive oil 1138	pasta dish 785	gluten free 605	side salad 416		3	chocolate cake 357	marinara sauce 834	bottle wine 654	olive oil 1138	filet mignon 259	cheese pizza 578
bone marrow	casa di amore	peter piper	lamb chops	au jus	thin crust	4	garlic knots 973	pasta dishes 729	cheese pizza 578	iced tea 389		4	sea bass 309	pasta dish 785	wine selection 497	garlic knots 973	perfectly cooked 249	thin crust pizza 505
zuppa toscana	au jus	caesars palace	pinot grigio	sea bass	chicken parm	5	goat cheese 724	spaghetti meatballs 649	thin crust pizza 505	house salad 387		5	creme brulee 275	chicken parm 688	wine bar 299	caesar salad 919	melt mouth 249	margherita pizza 475
sauvignon blanc	filet mignon	chili flakes	goat cheese	crab cakes	creme brulee	6	ice cream 641	chicken parm 609	margherita pizza 475	portion size 358		6	short rib 275	red sauce 676	red wine 291	goat cheese 724	medium rare 238	white pizza 433
puff pastry	pinot noir	west coast	minestrone soup	chocolate mousse	chocolate cake	7	mac cheese 436	red sauce 536	white pizza 433	soup salad 357		7	panna cotta 225	spaghetti meatballs 672	white wine 253	caprese salad 511	beef carpaccio 219	pizza crust 422
ginger ale	tivoli village	romano's macaroni grill	blood orange	pinot noir	tomato sauce	8	bread basket 399	chicken marsala 488	pizza crust 422	big fan 356		8	room dessert 174	chicken marsala 488	house wine 226	mac cheese 436	pork chop 208	pizza joint 401
san tan	frank lloyd wright	il bosco	ground beef	filet mignon	chicken parmigiana	9	chocolate cake 357	cooked perfectly 488	pizza joint 406	huge fan 314		9	whipped cream 169	meat sauce 484	glasses wine 213	fresh mozzarella 418	pork belly 205	pizza places 378
peter piper	wolfgang puck's	fra diavolo	sea salt	panna cotta	baked ziti	10	fresh mozzarella 356	meat sauce 480	pizza places 380	italian sausage 305		10	cotton candy 166	cream sauce 472	beer selection 212	bread basket 399	italian beef 203	humble pie 339
porta bella	farmers market	egg plant	au jus	pinot grigio	goat cheese	11	bread sticks 339	perfectly cooked 462	love pizza 372	chopped salad 274		11	ice tea 160	chicken parmesan 434	pine nuts 192	side salad 370	cooked perfection 202	pepperoni pizza 338
planet hollywood	romano's macaroni grill	tivoli village	chicken parmesan	eggplant parm	sea bass	12	creme brulee 275	chicken parmesan 441	humble pie 339	portions huge 255		12	vanilla ice cream 140	alfredo sauce 348	bottles wine 185	house salad 364	italian sausage 196	love pizza 293
clam chowder	santa monica	treasure island	chocolate mousse	baked ziti	meat sauce	13	tomato sauce 267	cream sauce 389	pepperoni pizza 338	portion sizes 250		13	peanut butter 131	ordered chicken 341	wine glass 184	bread sticks 352	lamb chops 196	pizza wings 291
striped bass	mama mia's	baked ziti	chocolate cake	ice tea	ice cream	14	blue cheese 267	cooked perfection 353	deep dish 300	antipasto salad 243		14	save room 110	al dente 314	red devil 172	blue cheese 297	melted mouth 177	deep dish 282
san daniele	maine lobster	tuna tartare	eggplant parm	french fries	caramelized onions	15	fresh basil 251	alfredo sauce 348	pizza wings 291	home made 234		15	saut ed 104	lobster ravioli 313	beer wine 155	chopped salad 277	mouth watering 166	pizza hut 270
fountain hills	sea bass	taco bell	bone marrow	pork chops	fettuccine alfredo	16	melt mouth 249	mashed potatoes 343	pizza hut 270	italian beef 214		16	italian ice 103	fried calamari 292	great wine 150	soup salad 265	french fries 164	slice pizza 258
creme brûlée	iced tea	puff pastry	fettuccine alfredo	black pepper	pasta dish	17	ricotta cheese 229	al dente 314	osso bucco 266	beet salad 207		17	chocolate sauce 103	husband ordered 292	wine beer 140	fresh basil 260	red pepper 150	style pizza 241
le cirque	cotton candy	mama mia	lobster tail	fettuccine alfredo	red peppers	18	truffle oil 227	sea bass 309	slice pizza 258	meatball sandwich 201		18	chocolate chip 99	eggplant parmesan 280	pinot noir 137	fresh ingredients 250	roasted red peppers 141	pizza dough 238
maine lobster	le cirque	corned beef	angel hair	red pepper	short ribs	19	parmesan cheese 223	lobster ravioli 306	style pizza 240	pasta dishes 197		19	salted caramel 93	eggplant parm 264	wine pairing 119	antipasto salad 244	green beans 141	metro pizza 232
tivoli village	chilean sea bass	heirloom tomatoes	pork loin	chicken parm	garlic knots	20	balsamic vinegar 219	ordered chicken 303	fresh ingredients 239	house made 194		20	save room dessert 92	fettuccine alfredo 250	wines glass 117	parmesan cheese 239	sonny boy 140	deep dish pizza 228
							Total: 465	Total: 981	Total: 836	Total: 752			Total: 482	Total: 1140	Total: 465	Total: 981	Total: 836	Total: 752
