-425.347927261,-3422.693455248,-3594.229354715,-3600.615395323,-3600.672095291,-3600.677816119,-3600.679073427,-3600.679401335,-3600.679488706,-3600.679512040,-3600.679518273
-431.074728328,-3372.273731790,-3555.929362660,-3563.906710900,-3564.363435794,-3564.394437462,-3564.396535363,-3564.396687905,-3564.396700018,-3564.396701047,-3564.396701140
-443.899916059,-3446.558628495,-3625.081914199,-3625.356807473,-3625.363869958,-3625.364508413,-3625.364578876,-3625.364587130,-3625.364588114,-3625.364588231,-3625.364588245
-434.999205443,-3548.815765727,-3761.151107007,-3761.989719795,-3761.990329807,-3761.990329685,-3761.990329722,-3761.990329724,-3761.990329724,-3761.990329724,-3761.990329724
-433.090418183,-3433.653940547,-3641.368407478,-3642.941721739,-3642.940167467,-3642.940008961,-3642.939986090,-3642.939985250,-3642.939985221,-3642.939985219,-3642.939985218
-405.359544500,-3366.356712551,-3549.171460788,-3563.217569659,-3565.836238241,-3566.238156674,-3566.290435522,-3566.297064626,-3566.297902940,-3566.298008938,-3566.298022342
-402.193093867,-3573.051065681,-3795.554303689,-3796.261778768,-3796.254160270,-3796.249915611,-3796.248689677,-3796.248350088,-3796.248256398,-3796.248230558,-3796.248223431
-438.726126445,-3432.452679890,-3603.805023553,-3607.063047147,-3607.200982479,-3607.208124198,-3607.208507095,-3607.208528552,-3607.208530374,-3607.208530673,-3607.208530745
-448.347158629,-3584.981154382,-3799.685199539,-3804.022471489,-3804.086883265,-3804.088660800,-3804.088717015,-3804.088718818,-3804.088718877,-3804.088718879,-3804.088718879
-416.275131310,-3452.739601889,-3637.593792899,-3639.860110506,-3639.959283371,-3639.971359206,-3639.973916193,-3639.974556429,-3639.974722881,-3639.974766714,-3639.974778331
-405.789647597,-3473.489565337,-3661.464606721,-3662.789436736,-3662.852526736,-3662.871091494,-3662.876339046,-3662.877799564,-3662.878205233,-3662.878317939,-3662.878349264
-374.376474896,-3499.557859421,-3700.241880921,-3704.466033141,-3704.608054006,-3704.622915936,-3704.624949203,-3704.625261275,-3704.625311360,-3704.625319557,-3704.625320912
-397.257626941,-3356.330954826,-3560.399857476,-3574.335119322,-3574.636478156,-3574.641246742,-3574.640081111,-3574.639653196,-3574.639528894,-3574.639494111,-3574.639484469
-438.713513342,-3356.865915544,-3551.547203395,-3562.881575154,-3564.594666527,-3564.801981920,-3564.825196868,-3564.827782676,-3564.828072386,-3564.828105083,-3564.828108804
-435.997745282,-3571.824305951,-3800.290905571,-3802.743241566,-3802.763108491,-3802.763676472,-3802.763693555,-3802.763694074,-3802.763694089,-3802.763694090,-3802.763694090
-448.559065082,-3423.838521095,-3630.478806870,-3631.807973703,-3631.840921718,-3631.846928124,-3631.848339436,-3631.848696964,-3631.848790181,-3631.848814793,-3631.848821328
-424.464998417,-3359.583837987,-3577.908348156,-3579.965671037,-3580.019459032,-3580.021780745,-3580.022601496,-3580.022930776,-3580.023040583,-3580.023074221,-3580.023084145
-404.058428086,-3413.144517394,-3637.484614855,-3640.972957463,-3641.033032998,-3641.034829128,-3641.034886490,-3641.034888433,-3641.034888499,-3641.034888501,-3641.034888502
-442.056621721,-3421.578903402,-3630.949370612,-3651.774614477,-3656.961677098,-3657.689121441,-3657.772453895,-3657.781819866,-3657.782882485,-3657.783005066,-3657.783019530
-403.905329597,-3462.377700419,-3680.774691556,-3686.668455724,-3687.151633216,-3687.209567117,-3687.217273874,-3687.218554584,-3687.218834104,-3687.218908883,-3687.218931050
